Tanggal & Waktu;ID Struk;Status Pembayaran;ID / Kode Outlet;Outlet;Tipe Penjualan;Kasir;No. Hp Pelanggan;Nama Pelanggan;customer_id;SKU;Nama Produk;Kategori;Jumlah Produk;Harga Produk;Penjualan Kotor;Diskon Produk;Subtotal;Diskon Transaksi;Service Charge;Pajak;Pembulatan;Poin Ditukar;Biaya Admin;Total;Metode Pembayaran;Fee;Pembayaran;Alasan Pembatalan;Catatan Transaksi;Catatan Custom Amount;Pawoon Order No.;Grab Food No.;Partner Reff. Number;Partner Trace No & RRN;Issuer Name;Paid By;Kode Voucher
30-04-2025 22:46:49;QDLVSLKM9YZ4D;Success;OT-292798;Diagram cafe;Take Away;Kasir 1;;;C0068;;Minuman kemasan 1 liter - Kopi susu;Coffee;2;75000;150000;0;150000;0;0;0;0;0;0;150000;Tunai;0;150000;;;;;;QDLVSLKM9YZ4D;;;;
30-04-2025 22:37:06;9Y47FRW4YVZM6;Success;OT-292798;Diagram cafe;Shopee Food;Kasir 1;;;C0069;;Beef Mushroom;Teriyaki Rice;1;35000;35000;0;35000;0;1750;0;0;0;0;36750;ShopeeFood;0;36750;;;;;;9Y47FRW4YVZM6;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Tofu Salt n Pepper Sharing;Light Meal;2;20000;40000;0;639000;0;31950;0;0;0;0;670950;Transfer;0;670950;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Chocolate - Ice;Non Coffee;3;18000;54000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Tofu Salt n Pepper Personal;Light Meal;6;14000;84000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;French Fries;Light Meal;4;17000;68000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Coffee Cube Diagram;Coffee;1;24000;24000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Mushroom Salt and Pepper Personal;Light Meal;1;15000;15000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Mango Yuogi;Signature drinks;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Mango Tea;Tea;2;18000;36000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Coffee Latte - Ice;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Lemon Tea;Tea;2;18000;36000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Americano;Coffee;1;18000;18000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Kampung Fried Rice - Tidak Pedas;Fried Rice & Noodle;2;20000;40000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Tea - Ice;Tea;1;10000;10000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Choco Diagram;Signature drinks;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Kopi susu diagram - Creamy;Coffee;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Chocolate - Ice;Non Coffee;1;18000;18000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Kampung Fried Rice - Sedang;Fried Rice & Noodle;1;20000;20000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
30-04-2025 22:21:35;KLQ6HDB9KLGNQ;Success;OT-292798;Diagram cafe;Dine in;Kasir 1;;RESERVASI AFI;C2020;;Americano;Coffee;1;18000;18000;0;;;;;;;;;;;;;;;;;KLQ6HDB9KLGNQ;;;;
